"shape","carat","cut","color","clarity","totaldepth","table","price","width","height","depth"
"Round",0.7,"Good","E","SI2",63.7,55,1585.185,5.63,5.58,3.57
"Round",0.57,"Premium","F","SI2",60.4,58,811.797,5.4,5.37,3.25
"Round",0.7,"Premium","F","SI2",58.8,58,1454.334,5.82,5.77,3.41
"Round",1,"Very Good","F","VVS1",63,56,5213.208,6.32,6.37,4
"Round",1.14,"Premium","I","VS1",60.3,57,3351.348,6.83,6.81,4.11
"Round",0.33,"Ideal","E","VS2",62.1,56,470.673,4.43,4.46,2.76
"Round",0.38,"Ideal","D","SI1",61.8,55,575.484,4.67,4.69,2.89
"Round",1.12,"Ideal","E","SI2",61.6,56,4015.368,6.69,6.71,4.13
"Round",1.17,"Premium","G","VS1",62.4,56,4924.164,6.81,6.75,4.23
"Round",0.3,"Ideal","E","VS2",62.1,55,428.358,4.32,4.35,2.69
"Round",0.4,"Very Good","E","VVS2",61.4,56,643.188,4.74,4.81,2.93
"Round",0.9,"Very Good","H","VS1",62.5,56,2617.671,6.13,6.19,3.85
"Round",0.36,"Ideal","I","VS1",62.1,56,369.768,4.55,4.59,2.84
"Round",2.02,"Premium","J","SI2",63,58,5624.64,8.07,8.02,5.07
"Round",0.74,"Ideal","I","SI1",62.3,57,1514.877,5.76,5.79,3.6
"Round",1.53,"Very Good","H","SI2",60.6,63,4294.647,7.43,7.38,4.49
"Round",0.52,"Ideal","E","VS2",62.4,57,1134.693,5.14,5.12,3.2
"Round",0.55,"Ideal","E","SI1",62.1,55,1085.868,5.26,5.21,3.25
"Round",0.58,"Ideal","D","VS1",61.4,57,1345.617,5.41,5.34,3.3
"Round",0.31,"Ideal","G","VS1",61.4,56,406.875,4.36,4.37,2.68
"Round",1,"Very Good","G","SI1",62.6,59,3153.444,6.29,6.33,3.95
"Round",0.51,"Ideal","F","SI1",61.1,55,1037.043,5.22,5.16,3.17
"Round",1.54,"Very Good","I","SI2",63.3,60,4841.487,7.34,7.31,4.64
"Round",0.31,"Ideal","G","VVS1",61.3,56,513.639,4.37,4.41,2.69
"Round",1.51,"Ideal","E","VS2",61.2,57,9692.739,7.37,7.47,4.54
"Round",0.9,"Good","G","SI1",63.9,60,2286.312,6.1,6.07,3.89
"Round",0.4,"Very Good","F","VS2",63.6,56,564.417,4.66,4.68,2.97
"Round",2.51,"Premium","H","SI2",59.3,61,9467.493,8.81,8.77,5.21
"Round",1.91,"Good","I","SI2",62.8,58,7119.987,7.82,7.89,4.93
"Round",0.53,"Ideal","G","VVS2",62.5,54,1246.014,5.21,5.19,3.25
"Round",0.31,"Premium","J","SI1",61.9,59,302.715,4.32,4.28,2.66
"Round",0.32,"Ideal","F","VS2",60.9,56,397.11,4.41,4.45,2.7
"Round",0.7,"Fair","G","SI2",61.5,66,1301.349,5.55,5.6,3.43
"Round",0.7,"Very Good","J","SI2",61.7,59,1163.988,5.64,5.67,3.49
"Round",0.34,"Premium","H","VS1",60.6,60,498.015,4.49,4.45,2.71
"Round",1.55,"Premium","H","VS2",61.3,61,7621.908,7.46,7.39,4.55
"Round",1,"Very Good","F","SI2",62.6,58,2656.731,6.31,6.37,3.97
"Round",1.04,"Very Good","D","SI1",58.9,58,3995.838,6.66,6.69,3.93
"Round",1.01,"Very Good","G","VVS2",63.3,57,5133.135,6.31,6.36,4.01
"Round",0.31,"Premium","D","SI1",61.1,57,476.532,4.36,4.35,2.66
"Round",0.32,"Premium","H","SI1",61.9,58,374.976,4.38,4.34,2.7
"Round",1.2,"Very Good","I","VS1",62.6,59,4030.992,6.69,6.73,4.2
"Round",1,"Good","H","SI2",62,64,2077.992,6.43,6.29,3.94
"Round",1.52,"Premium","D","SI1",59.2,61,8347.773,7.59,7.55,4.48
"Round",0.43,"Good","F","SI1",63.6,53,617.148,4.83,4.79,3.06
"Round",1,"Very Good","F","VS1",58.4,63,3919.671,6.58,6.47,3.81
"Round",0.75,"Ideal","E","VS1",62,55,2253.762,5.83,5.88,3.66
"Round",0.31,"Good","I","VVS1",63.1,59,371.721,4.25,4.31,2.7
"Round",1,"Very Good","D","SI2",63.3,56,3062.304,6.38,6.35,4.03
"Round",3.01,"Good","H","SI2",57.6,64,12104.043,9.44,9.38,5.42
"Round",0.7,"Good","F","SI1",58.7,61,1473.864,5.77,5.81,3.4
"Round",0.58,"Very Good","J","SI1",62.1,57,712.845,5.35,5.41,3.34
"Round",0.33,"Premium","H","VS2",62.3,58,339.171,4.38,4.41,2.74
"Round",1,"Premium","J","SI1",62.8,59,2460.78,6.37,6.27,3.97
"Round",1.01,"Premium","I","SI2",59.6,62,2385.915,6.56,6.5,3.89
"Round",1,"Premium","G","SI2",61.8,58,2479.008,6.44,6.4,3.97
"Round",0.32,"Ideal","G","SI1",61.8,55,292.299,4.4,4.43,2.73
"Round",0.77,"Premium","H","VS1",61.3,60,1815.639,5.9,5.88,3.61
"Round",0.83,"Very Good","J","VS2",60.5,55,1591.044,6.08,6.11,3.69
"Round",0.55,"Ideal","G","VVS2",61.9,56,1316.322,5.23,5.27,3.25
"Round",0.55,"Ideal","F","VS2",61.1,56,1184.169,5.31,5.27,3.23
"Round",0.71,"Premium","I","VS2",62.1,59,1493.394,5.7,5.73,3.55
"Round",0.75,"Very Good","F","VVS2",61.1,55,2311.701,5.85,5.9,3.59
"Round",0.36,"Very Good","G","VS1",60.7,57.1,534.471,4.57,4.65,2.79
"Round",1.3,"Premium","I","SI1",58.1,59,4028.388,7.19,7.16,4.17
"Round",0.91,"Very Good","H","SI2",58.4,63,2218.608,6.29,6.24,3.66
"Round",0.72,"Fair","H","SI2",66,60,1171.149,5.58,5.51,3.66
"Round",0.72,"Very Good","I","SI1",63.3,57,1350.174,5.73,5.67,3.61
"Round",0.31,"Ideal","F","IF",62.1,54,595.014,4.33,4.37,2.7
"Round",0.58,"Premium","E","VS1",61.8,55,1426.992,5.39,5.35,3.32
"Round",0.32,"Good","G","SI1",63.5,56,310.527,4.35,4.38,2.77
"Round",1.01,"Ideal","G","SI2",61.5,57,3113.733,6.43,6.45,3.96
"Round",0.44,"Very Good","E","VVS2",60.7,57,829.374,4.9,4.92,2.98
"Round",0.4,"Premium","F","VVS2",60.8,59,757.113,4.73,4.71,2.87
"Round",0.71,"Ideal","I","VS2",62.1,59,1507.065,5.73,5.7,3.55
"Round",1.2,"Ideal","J","VS2",61.8,55,3462.018,6.84,6.86,4.23
"Round",1.06,"Ideal","I","VVS2",62.2,55,3950.919,6.51,6.55,4.06
"Round",0.57,"Premium","E","SI1",62.2,55,1035.09,5.36,5.31,3.32
"Round",0.74,"Premium","E","SI2",58.8,60,1635.312,5.93,5.91,3.48
"Round",1.09,"Ideal","G","VVS2",61.5,55,5245.107,6.66,6.61,4.08
"Round",0.33,"Premium","E","VS2",61,60,470.673,4.42,4.47,2.71
"Round",0.49,"Premium","F","SI1",58.7,60,767.529,5.2,5.15,3.04
"Round",0.32,"Ideal","E","VS2",61.3,56,398.412,4.41,4.46,2.72
"Round",0.65,"Very Good","D","SI1",62.4,58,1266.195,5.52,5.57,3.46
"Round",0.31,"Very Good","F","VS2",62.7,57,406.875,4.3,4.34,2.71
"Round",1.02,"Very Good","G","SI1",63,55,3016.083,6.4,6.45,4.05
"Round",0.25,"Very Good","E","VVS1",61.5,56,364.56,4.06,4.08,2.5
"Round",0.93,"Ideal","F","SI2",59.5,57,2492.028,6.37,6.33,3.78
"Round",0.47,"Very Good","J","VS1",63,60,555.954,4.92,4.95,3.11
"Round",0.26,"Very Good","I","VVS2",62.7,55,277.977,4.09,4.12,2.57
"Round",0.32,"Ideal","I","VS2",62.2,57,292.299,4.39,4.42,2.74
"Round",0.31,"Ideal","H","VS1",61.1,57,354.144,4.35,4.39,2.67
"Round",0.71,"Ideal","H","SI2",61.5,56,1381.422,5.71,5.74,3.52
"Round",0.53,"Very Good","D","VVS2",57.5,64,1811.082,5.34,5.37,3.08
"Round",1.03,"Very Good","J","VS1",63.4,58,2794.092,6.36,6.42,4.05
"Round",1.22,"Ideal","G","VVS1",61.1,56,7088.088,6.91,6.94,4.23
"Round",0.62,"Ideal","G","VS2",61.6,55,1510.971,5.51,5.53,3.4
"Round",0.61,"Very Good","E","SI1",63.9,54,1418.529,5.38,5.42,3.45
"Round",0.3,"Premium","H","VVS2",62.9,57,505.176,4.31,4.28,2.7
"Round",0.31,"Premium","E","VVS1",61.3,58,601.524,4.36,4.39,2.68
"Round",1.13,"Premium","H","SI1",62,58,3287.55,6.67,6.63,4.12
"Round",0.35,"Ideal","G","VS1",61.9,55,589.806,4.53,4.52,2.8
"Round",0.4,"Premium","H","VS1",62.6,58,525.357,4.68,4.71,2.94
"Round",1.11,"Ideal","I","SI2",61.9,57,2901.507,6.66,6.62,4.11
"Round",1.21,"Ideal","H","VS1",62.7,56,4416.384,6.79,6.84,4.27
"Round",1.5,"Fair","G","VS2",64.4,56,8324.337,7.16,7.09,4.59
"Round",0.51,"Ideal","E","SI1",61.7,55,939.393,5.17,5.13,3.18
"Round",0.42,"Ideal","E","VS2",61.3,56,623.658,4.81,4.85,2.96
"Round",1.24,"Premium","H","VS1",61.2,59,4790.058,6.91,6.94,4.24
"Round",1.06,"Premium","G","VS2",60.9,57,4284.882,6.65,6.61,4.04
"Round",0.41,"Premium","G","VVS1",59.9,59,749.301,4.79,4.83,2.88
"Round",0.72,"Ideal","E","SI2",62.5,55,1647.03,5.69,5.74,3.57
"Round",1.01,"Good","E","VS2",58.9,62,4242.567,6.55,6.63,3.88
"Round",0.27,"Ideal","I","VS1",62.5,54,281.232,4.16,4.19,2.61
"Round",0.4,"Very Good","E","VS1",62.6,56,685.503,4.67,4.72,2.94
"Round",1.01,"Very Good","F","VS1",63.3,60,4639.677,6.35,6.32,4.01
"Round",0.79,"Premium","E","VS2",60.6,53,1872.276,6.04,5.98,3.64
"Round",1.55,"Ideal","E","VS2",61.9,58,9955.743,7.39,7.45,4.59
"Round",2.16,"Premium","J","SI1",60.5,59,9327.528,8.41,8.35,5.07
"Round",0.45,"Fair","F","VS2",67,56,600.873,4.77,4.7,3.17
"Round",0.3,"Ideal","E","VS1",62.5,56,451.794,4.27,4.31,2.68
"Round",1.01,"Premium","G","SI1",62.2,58,3258.906,6.42,6.4,3.99
"Round",0.38,"Ideal","E","IF",61.1,56,932.883,4.67,4.72,2.87
"Round",0.29,"Ideal","G","VS2",61.6,56,341.775,4.26,4.29,2.63
"Round",1.01,"Very Good","F","VS2",60.5,59,4520.544,6.51,6.54,3.95
"Round",0.79,"Very Good","F","VS1",58.6,57,2212.098,6.08,6.14,3.58
"Round",1.2,"Ideal","I","VS2",61.5,57,3827.88,6.8,6.75,4.17
"Round",1.02,"Ideal","F","VS1",62.6,54,5310.207,6.45,6.41,4.02
"Round",0.44,"Ideal","E","VS2",61.9,55,698.523,4.89,4.86,3.02
"Round",0.8,"Very Good","H","SI2",59.7,58,1473.213,6.03,6.09,3.62
"Round",0.36,"Very Good","E","VS2",62.8,56,513.639,4.51,4.54,2.84
"Round",0.54,"Ideal","D","VVS2",61.5,55,1854.048,5.25,5.29,3.24
"Round",0.3,"Very Good","F","IF",62.1,57,576.786,4.26,4.3,2.66
"Round",1,"Very Good","F","VS2",63.4,58,4438.518,6.3,6.39,4.02
"Round",0.7,"Very Good","E","VVS1",63.2,57,3023.244,5.62,5.67,3.57
"Round",1.22,"Premium","I","SI2",62.3,58,3144.981,6.8,6.85,4.25
"Round",0.37,"Ideal","E","VVS2",62.2,56,704.382,4.63,4.6,2.87
"Round",1.51,"Very Good","E","VS2",62.7,59,8319.129,7.2,7.32,4.55
"Round",0.91,"Ideal","I","SI2",61.6,57,1940.631,6.24,6.23,3.84
"Round",0.42,"Ideal","D","SI1",61.5,56,527.31,4.81,4.85,2.97
"Round",0.78,"Premium","F","VS1",61.5,58,2243.346,5.93,5.98,3.66
"Round",0.4,"Premium","D","VVS2",60.8,59,861.273,4.81,4.76,2.91
"Round",0.35,"Ideal","E","VS2",62,57,499.317,4.51,4.55,2.81
"Round",0.53,"Ideal","H","VVS2",61.8,56,1171.8,5.22,5.2,3.22
"Round",0.31,"Premium","J","VS2",62.5,60,317.688,4.36,4.31,2.71
"Round",0.75,"Fair","J","SI1",55,66,1189.377,6.2,6.04,3.37
"Round",0.92,"Fair","H","SI2",66.1,57,1486.233,6.22,6,4.05
"Round",0.7,"Premium","E","SI1",59.1,62,1687.392,5.8,5.74,3.41
"Round",0.5,"Very Good","G","VVS2",62.4,56,1121.673,5.06,5.1,3.17
"Round",0.3,"Ideal","E","VS2",61.5,55,428.358,4.29,4.33,2.65
"Round",0.24,"Very Good","I","VVS1",62.3,57,218.736,3.95,3.98,2.47
"Round",0.3,"Very Good","D","SI1",62.2,61,359.352,4.24,4.28,2.65
"Round",0.35,"Ideal","D","VS1",60.8,57,619.752,4.61,4.57,2.79
"Round",1.17,"Ideal","J","SI1",62.3,55,3178.833,6.74,6.77,4.21
"Round",1.2,"Ideal","G","VS1",61.9,58,6265.875,6.76,6.8,4.2
"Round",1.01,"Ideal","F","SI2",61.5,56,2902.158,6.42,6.49,3.97
"Round",0.25,"Very Good","F","VVS1",61.1,57,412.083,4.05,4.08,2.48
"Round",0.54,"Ideal","E","VS2",61.9,55,1202.397,5.24,5.2,3.23
"Round",1.04,"Very Good","G","VS2",61.4,63,3548.601,6.55,6.51,4.01
"Round",0.25,"Ideal","G","VVS1",62.6,56,378.882,4.01,4.05,2.52
"Round",1.51,"Good","E","SI2",63.1,58,6082.293,7.28,7.31,4.6
"Round",0.9,"Very Good","J","VS1",62.4,57,2371.593,6.13,6.18,3.84
"Round",0.41,"Premium","F","VS2",60.3,58,720.657,4.85,4.8,2.91
"Round",0.7,"Premium","E","VS2",59.3,60,1834.518,5.78,5.73,3.41
"Round",0.54,"Ideal","F","VS1",61.5,55,1433.502,5.26,5.27,3.24
"Round",0.73,"Ideal","G","VVS2",61.9,55,1900.269,5.83,5.77,3.59
"Round",0.34,"Ideal","E","VS1",62,57,573.531,4.49,4.44,2.77
"Round",1.16,"Ideal","G","SI2",61.9,56,3176.88,6.73,6.77,4.18
"Round",1.51,"Fair","J","SI1",63.4,60,4541.376,7.31,7.18,4.59
"Round",0.96,"Ideal","F","I1",60.7,55,1823.451,6.37,6.41,3.88
"Round",1,"Ideal","H","SI2",59.4,55,2796.045,6.59,6.65,3.93
"Round",1.5,"Good","D","SI1",56.6,64,5194.98,7.51,7.43,4.23
"Round",0.54,"Ideal","F","SI1",60.5,57,901.635,5.25,5.27,3.18
"Round",1.01,"Good","D","VS1",56.8,61,3287.55,6.5,6.45,3.68
"Round",0.73,"Ideal","E","VS2",62.2,56,2166.528,5.76,5.78,3.59
"Round",0.71,"Premium","H","VS2",62,54,1464.099,5.73,5.69,3.54
"Round",0.41,"Ideal","D","VS2",62.2,57,700.476,4.76,4.72,2.95
"Round",0.5,"Very Good","H","IF",61.3,60,1110.606,5.08,5.17,3.14
"Round",0.44,"Good","D","VS2",60.6,64,805.938,4.97,4.89,2.99
"Round",1.59,"Premium","H","VS2",62.1,58,7445.487,7.48,7.42,4.63
"Round",0.37,"Ideal","F","VVS2",61.1,56,642.537,4.62,4.65,2.83
"Round",2.21,"Very Good","G","SI2",60.7,62,10302.075,8.42,8.48,5.13
"Round",0.61,"Premium","F","SI2",60.9,58,848.253,5.44,5.52,3.34
"Round",0.91,"Premium","H","SI2",62.1,56,2277.198,6.24,6.15,3.85
"Round",0.44,"Very Good","D","VS2",62.8,58,553.35,4.79,4.86,3.03
"Round",0.86,"Good","D","VVS1",64.3,53,3273.879,6.02,6.12,3.89
"Round",1.56,"Premium","F","SI2",63,58,4538.121,7.35,7.28,4.66
"Round",0.31,"Ideal","I","VS2",61.6,55,294.252,4.38,4.42,2.71
"Round",0.32,"Very Good","G","VS2",62.3,55,354.144,4.38,4.41,2.73
"Round",0.56,"Ideal","G","VVS1",62.3,55,1408.764,5.31,5.25,3.29
"Round",1.55,"Good","G","I1",63.6,58,3232.215,7.34,7.29,4.65
"Round",0.75,"Premium","F","SI2",62.2,58,1628.151,5.87,5.8,3.57
"Round",0.39,"Ideal","E","VS2",61.3,56,593.061,4.71,4.75,2.9
"Round",0.33,"Very Good","G","VVS1",62.8,59,565.068,4.38,4.44,2.77
"Round",1.04,"Premium","J","VS2",58.7,58,2631.993,6.68,6.61,3.9
"Round",0.31,"Very Good","E","SI1",61.2,58,330.057,4.34,4.38,2.67
"Round",0.9,"Premium","I","IF",62.6,59,2939.916,6.15,6.12,3.84
"Round",2.05,"Good","G","SI2",63.7,61,10512.348,7.99,8.03,5.1
"Round",1.24,"Fair","H","SI2",65,54,3390.408,6.76,6.73,4.38
"Round",0.37,"Premium","F","VS2",61.9,58,623.007,4.6,4.54,2.83
"Round",2.14,"Very Good","E","SI2",61.5,58,11799.375,8.24,8.31,5.09
"Round",0.31,"Ideal","F","VVS1",60.4,59,507.129,4.35,4.43,2.65
"Round",0.5,"Ideal","F","VS2",61.4,57,1062.432,5.16,5.13,3.16
"Round",0.37,"Very Good","G","VS2",62.8,60,422.499,4.55,4.59,2.87
"Round",1.26,"Very Good","H","VS2",63.1,58,3807.699,6.91,6.81,4.34
"Round",0.83,"Ideal","G","VS1",62.1,55,3247.839,6.02,6.05,3.75
"Round",0.7,"Very Good","E","VS2",61.8,59,1921.752,5.63,5.67,3.49
"Round",0.7,"Very Good","E","SI2",61.1,62,1451.73,5.68,5.72,3.48
"Round",0.41,"Premium","G","VS2",59.2,58,690.711,4.83,4.8,2.85
"Round",1.01,"Very Good","G","IF",61.1,56,5900.013,6.45,6.48,3.95
"Round",1,"Good","H","SI1",56.8,65,2693.838,6.61,6.49,3.72
"Round",1.03,"Ideal","I","SI1",62.2,54,3113.082,6.46,6.5,4.03
"Round",0.7,"Good","G","SI2",64.1,56,1259.685,5.64,5.59,3.6
"Round",0.51,"Ideal","G","VVS2",61.6,55,1430.247,5.13,5.16,3.17
"Round",0.59,"Ideal","G","SI1",61.8,56,1118.418,5.37,5.39,3.32
"Round",0.9,"Ideal","D","SI1",61.3,58,3034.311,6.16,6.21,3.79
"Round",2.01,"Ideal","J","SI2",62.9,54,7168.161,8.06,7.93,5.05
"Round",1,"Good","H","SI2",62.7,58,2685.375,6.31,6.33,3.96
"Round",0.5,"Premium","G","I1",62.2,59,664.02,5.07,5.03,3.14
"Round",0.9,"Very Good","G","VS2",63.3,54,2805.159,6.19,6.11,3.89
"Round",0.44,"Premium","E","VS2",62.3,59,698.523,4.91,4.81,3.03
"Round",0.73,"Fair","D","SI1",64.5,56,1652.889,5.7,5.65,3.66
"Round",0.6,"Very Good","J","SI2",62.9,60,665.322,5.34,5.38,3.37
"Round",2.01,"Premium","H","SI2",61.8,62,7581.546,8.05,7.97,4.95
"Round",0.42,"Very Good","E","SI1",62.3,58,503.223,4.76,4.81,2.98
"Round",0.39,"Very Good","G","VVS2",62.1,55,569.625,4.67,4.7,2.91
"Round",1.16,"Ideal","G","SI2",61.5,54,3389.106,6.75,6.78,4.16
"Round",0.57,"Ideal","E","SI1",61.9,56,1050.063,5.33,5.3,3.29
"Round",0.38,"Ideal","H","SI2",61.3,54,332.01,4.68,4.7,2.87
"Round",1.21,"Very Good","H","VS1",60.4,59,4684.596,6.88,6.97,4.18
"Round",0.47,"Fair","F","SI2",67.6,57,468.069,4.81,4.72,3.23
"Round",0.34,"Ideal","D","VS1",61.4,56,487.599,4.5,4.53,2.77
"Round",0.37,"Ideal","H","IF",61.4,55,609.336,4.63,4.66,2.85
"Round",0.4,"Premium","G","SI2",61.9,61,498.015,4.74,4.69,2.92
"Round",0.71,"Very Good","D","VS1",58.1,62,2047.395,5.84,5.89,3.41
"Round",0.71,"Ideal","I","SI1",61.6,55,1509.669,5.72,5.74,3.53
"Round",1.14,"Premium","I","SI1",59.1,58,3116.988,6.83,6.81,4.03
"Round",0.33,"Ideal","I","VVS2",62.4,57,483.693,4.44,4.41,2.76
"Round",0.78,"Ideal","G","VS1",61.6,55,2432.136,5.91,5.94,3.65
"Round",1.05,"Premium","E","VS2",62.6,59,3674.895,6.5,6.43,4.05
"Round",0.51,"Ideal","F","VVS2",62.2,56,1434.153,5.12,5.08,3.17
"Round",0.34,"Very Good","F","SI1",62.8,56,368.466,4.42,4.46,2.79
"Round",1.25,"Very Good","H","SI2",62.8,55,3759.525,6.82,6.87,4.3
"Round",0.31,"Ideal","H","IF",62.2,54,513.639,4.38,4.4,2.73
"Round",1.01,"Ideal","D","VS2",62.6,55,5389.629,6.42,6.46,4.03
"Round",0.7,"Very Good","G","SI1",63.5,56,1492.743,5.64,5.7,3.6
"Round",1,"Premium","G","VS1",62.4,60,4151.427,6.39,6.37,3.98
"Round",0.3,"Ideal","D","VVS1",61.1,57,695.919,4.36,4.34,2.66
"Round",0.26,"Premium","E","VS1",60.1,60,377.58,4.15,4.1,2.48
"Round",2.03,"Ideal","I","SI1",62.9,55,7468.272,8.11,8.04,5.08
"Round",0.59,"Ideal","E","SI1",61.4,56,1083.264,5.36,5.39,3.3
"Round",1.5,"Very Good","J","VS1",63.3,57,5791.296,7.24,7.2,4.57
"Round",0.53,"Good","E","VS2",58.6,62,925.722,5.26,5.32,3.1
"Round",0.51,"Ideal","J","VS2",62.5,57,703.08,5.04,5.08,3.16
"Round",0.4,"Ideal","H","VS2",61.9,55,471.975,4.73,4.75,2.93
"Round",0.7,"Ideal","E","VVS2",62.8,56,2107.938,5.68,5.6,3.54
"Round",0.36,"Premium","E","VS2",62.3,58,659.463,4.55,4.51,2.82
"Round",1.57,"Very Good","H","SI1",59.6,58,6800.997,7.61,7.65,4.55
"Round",1.02,"Very Good","F","SI1",60.2,60,3305.127,6.55,6.61,3.96
"Round",0.51,"Ideal","G","VVS2",62.6,57,1285.074,5.12,5.1,3.2
"Round",0.79,"Premium","H","SI1",61.8,59,1481.025,5.97,5.91,3.67
"Round",1.28,"Very Good","J","SI1",63.4,59,3233.517,6.89,6.84,4.35
"Round",0.39,"Very Good","H","VVS2",62.1,58,556.605,4.63,4.65,2.88
"Round",0.44,"Ideal","E","SI2",62,54,449.841,4.9,4.94,3.05
"Round",1.24,"Premium","H","VS1",62.2,59,4616.892,6.83,6.9,4.27
"Round",0.23,"Ideal","E","VVS2",62.8,57,345.03,3.91,3.96,2.47
"Round",1.5,"Ideal","G","VS2",62.5,55,8324.337,7.26,7.23,4.53
"Round",0.42,"Ideal","D","SI1",63,57,631.47,4.81,4.77,3.02
"Round",0.35,"Premium","H","VVS2",62.7,58,589.806,4.5,4.46,2.81
"Round",0.53,"Ideal","G","VVS1",61.3,56,1311.765,5.22,5.26,3.21
"Round",0.3,"Premium","I","VS1",60.3,58,307.923,4.32,4.34,2.61
"Round",1.31,"Ideal","G","VS2",61.9,56,5808.222,7.05,7.08,4.37
"Round",0.3,"Premium","G","VS1",62.3,59,505.176,4.3,4.27,2.67
"Round",0.37,"Premium","F","VS2",61.9,59,485.646,4.57,4.61,2.84
"Round",1.03,"Very Good","D","SI1",63,59,3613.701,6.39,6.44,4.04
"Round",0.55,"Ideal","I","VS2",61.3,54,791.616,5.28,5.36,3.26
"Round",0.9,"Good","F","VS1",63.5,57,2981.58,6.06,6.09,3.86
"Round",0.76,"Ideal","I","SI1",62.3,57,1610.574,5.81,5.87,3.64
"Round",0.78,"Premium","F","SI2",62.7,56,1591.044,5.87,5.84,3.67
"Round",0.34,"Ideal","D","VS2",62,54,672.483,4.52,4.48,2.79
"Round",0.56,"Ideal","F","VS2",62.3,55,1125.579,5.32,5.28,3.3
"Round",1.05,"Premium","G","SI2",61.3,58,2760.891,6.55,6.6,4.03
"Round",0.33,"Ideal","G","SI1",61.4,57,410.781,4.48,4.45,2.74
"Round",0.36,"Very Good","E","VS2",62.9,56,410.781,4.52,4.54,2.85
"Round",2.01,"Ideal","J","VS1",60.9,56,10623.669,8.14,8.18,4.97
"Round",0.76,"Premium","F","SI2",60.5,60,1621.641,5.92,5.89,3.57
"Round",0.4,"Good","E","SI2",63.9,57,404.922,4.65,4.71,2.99
"Round",0.52,"Ideal","D","VS2",61.8,55,1249.269,5.19,5.16,3.2
"Round",2.5,"Premium","H","I1",59.9,60,5512.017,8.75,8.67,5.22
"Round",0.53,"Ideal","G","SI1",63,54,828.723,5.18,5.14,3.25
"Round",0.54,"Premium","G","VVS2",60.5,55,1360.59,5.28,5.24,3.18
"Round",0.64,"Premium","E","VVS2",62.1,58,1868.37,5.56,5.51,3.44
"Round",0.59,"Ideal","D","IF",60.9,60,3200.316,5.41,5.39,3.29
"Round",0.9,"Very Good","J","SI2",62.3,59,1753.143,6.15,6.18,3.84
"Round",0.33,"Ideal","E","SI1",61.9,57,376.929,4.43,4.46,2.75
"Round",0.32,"Ideal","I","SI1",60.9,55,263.004,4.45,4.48,2.72
"Round",1.33,"Very Good","F","SI1",63.3,56,5314.113,6.91,6.95,4.39
"Round",2.01,"Ideal","H","SI1",65.1,56,10893.183,7.91,7.84,5.12
"Round",0.52,"Ideal","E","VS2",62.1,57,1052.667,5.22,5.19,3.23
"Round",0.56,"Ideal","E","VVS2",61.5,57,1581.279,5.27,5.34,3.26
"Round",1.02,"Good","D","SI2",58.9,65,2501.142,6.59,6.54,3.87
"Round",0.73,"Ideal","E","SI2",60.4,56,1584.534,5.81,5.89,3.54
"Round",2,"Ideal","F","SI2",62,57,11529.21,8.03,8.1,5
"Round",1.11,"Very Good","H","SI1",63.2,58,3379.992,6.53,6.61,4.15
"Round",0.76,"Very Good","G","VS2",59.8,58,1774.626,5.92,5.96,3.55
"Round",0.75,"Premium","F","SI2",60.9,58,1480.374,5.88,5.91,3.59
"Round",1.2,"Very Good","D","SI1",62.4,58,4977.546,6.75,6.78,4.23
"Round",2,"Very Good","H","SI2",62.6,56,10055.346,7.98,8.09,5.03
"Round",0.52,"Very Good","G","VVS1",61.1,58,1375.563,5.19,5.22,3.18
"Round",1.59,"Ideal","G","VVS2",62.6,55,10300.773,7.47,7.44,4.67
"Round",1.01,"Very Good","E","VS1",63.4,58,4795.266,6.38,6.36,4.04
"Round",1.51,"Good","J","SI2",58.1,64,4045.965,7.57,7.53,4.39
"Round",0.99,"Very Good","G","SI1",62.8,56,3165.813,6.34,6.36,3.99
"Round",0.53,"Ideal","H","VS2",62.5,56,919.212,5.19,5.15,3.23
"Round",0.51,"Ideal","G","VS1",61.9,56,1078.056,5.1,5.14,3.17
"Round",1.12,"Premium","H","I1",59.1,61,1857.954,6.78,6.75,4
"Round",0.91,"Very Good","F","SI1",63.1,60,1957.557,6.13,6.1,3.86
"Round",0.4,"Ideal","F","SI2",62.1,54,440.727,4.75,4.78,2.96
"Round",1.55,"Ideal","F","SI2",61.9,55,7119.987,7.44,7.4,4.6
"Round",0.28,"Ideal","F","IF",62.4,55,420.546,4.17,4.2,2.61
"Round",0.7,"Very Good","G","VS1",62.5,58,1586.487,5.63,5.69,3.54
"Round",0.33,"Ideal","G","VVS2",62.7,55,489.552,4.41,4.46,2.78
"Round",1,"Ideal","G","VVS2",62.8,57,5194.329,6.37,6.43,4.02
"Round",1.52,"Good","H","SI1",64.1,59,5803.665,7.11,7.18,4.58
"Round",0.3,"Good","G","VS2",63.5,54,342.426,4.25,4.28,2.71
"Round",1.07,"Ideal","I","SI1",62,55,3227.658,6.56,6.6,4.08
"Round",2.08,"Very Good","H","SI2",63.4,59,8597.106,8.06,8,5.09
"Round",1.16,"Ideal","I","SI2",62.8,57,2346.855,6.8,6.64,4.22
"Round",1.02,"Premium","H","SI2",62.7,59,2900.205,6.41,6.34,4
"Round",0.74,"Very Good","J","VS2",60.8,58,1303.953,5.79,5.85,3.54
"Round",0.71,"Ideal","D","SI1",60.6,56,2391.774,5.78,5.81,3.51
